date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol
2023-04-12,100.4,100.51,97.705,97.83,97.83,56735007,0.0000,1.0,AMZN
2023-04-11,100.8,101.0,99.01,99.92,99.92,60417847,0.0000,1.0,AMZN
2023-04-10,100.96,102.2,99.57,102.17,102.17,37261185,0.0000,1.0,AMZN
2023-04-06,100.75,102.3817,99.8008,102.06,102.06,43808020,0.0000,1.0,AMZN
2023-04-05,103.91,103.91,100.7506,101.1,101.1,45175393,0.0000,1.0,AMZN
2023-04-04,102.75,104.2,102.11,103.95,103.95,48662496,0.0000,1.0,AMZN
2023-04-03,102.3,103.29,101.43,102.41,102.41,41135733,0.0000,1.0,AMZN
2023-03-31,102.16,103.49,101.95,103.29,103.29,56750317,0.0000,1.0,AMZN
2023-03-30,101.55,103.04,101.01,102.0,102.0,53633398,0.0000,1.0,AMZN
2023-03-29,98.69,100.4218,98.56,100.25,100.25,49783279,0.0000,1.0,AMZN
2023-03-28,98.11,98.44,96.29,97.24,97.24,38720050,0.0000,1.0,AMZN
2023-03-27,99.07,99.34,97.08,98.04,98.04,46721296,0.0000,1.0,AMZN
2023-03-24,98.065,98.3,96.4,98.13,98.13,56144801,0.0000,1.0,AMZN
2023-04-21,105.47,106.0,104.78,105.41,105.41,25800082,0.0000,1.0,GOOGL
2023-04-20,103.91,106.25,103.8684,105.29,105.29,27820794,0.0000,1.0,GOOGL
2023-04-19,103.58,104.98,103.07,104.18,104.18,20905684,0.0000,1.0,GOOGL
2023-04-18,106.49,106.54,104.07,104.5,104.5,26596445,0.0000,1.0,GOOGL
2023-04-17,104.658,106.16,104.52,105.97,105.97,37402371,0.0000,1.0,GOOGL
2023-04-14,106.89,108.94,106.84,108.87,108.87,26578002,0.0000,1.0,GOOGL
2023-04-13,105.84,107.49,105.84,107.43,107.43,24843579,0.0000,1.0,GOOGL
2023-04-12,106.58,106.75,104.34,104.64,104.64,24370274,0.0000,1.0,GOOGL
2023-04-11,106.55,106.73,104.68,105.35,105.35,26311803,0.0000,1.0,GOOGL
2023-04-10,106.98,107.59,105.12,106.44,106.44,27067355,0.0000,1.0,GOOGL
2023-04-06,105.26,109.17,104.33,108.42,108.42,48711480,0.0000,1.0,GOOGL
2023-04-05,105.78,106.1,103.66,104.47,104.47,28290503,0.0000,1.0,GOOGL
2023-04-04,104.33,105.58,104.04,104.72,104.72,24420079,0.0000,1.0,GOOGL
2023-04-03,102.39,104.53,101.93,104.36,104.36,25035399,0.0000,1.0,GOOGL
2023-03-31,101.3,103.89,101.04,103.73,103.73,36863369,0.0000,1.0,GOOGL
2023-03-30,100.91,101.155,99.78,100.89,100.89,33086183,0.0000,1.0,GOOGL
2023-03-29,102.28,102.49,100.65,101.39,101.39,28779572,0.0000,1.0,GOOGL
2023-03-28,102.44,102.45,99.74,101.03,101.03,32057865,0.0000,1.0,GOOGL
2023-03-27,104.615,104.76,101.9273,102.46,102.46,31120864,0.0000,1.0,GOOGL
2023-03-24,104.99,105.49,103.84,105.44,105.44,30411043,0.0000,1.0,GOOGL
2023-04-21,164.8,166.0,161.3208,165.08,165.08,123538954,0.0000,1.0,TSLA
2023-04-20,166.165,169.7,160.56,162.99,162.99,210970819,0.0000,1.0,TSLA
